Sentence	Topic_Label
'इस्लाम विरोधी' फ़िल्म की अभिनेत्री निर्माता पर गर्म	1
तीन घंटे में भारत-पाक मैच के सारे टिकट बिके 	4
मलाला को दिया जाए नोबेल पुरस्कार: नॉर्वे	0
अब चैम्पियंस लीग के तमाशाई क्रिकेट की बारी 	4
कॉमनवेल्थ खेल: 13 सुनहरे भारतीय 	4
अब होगा विजेंदर सिंह का डोप टेस्ट 	4
जर्मनी में क्यों पढ़ना चाहते हैं युवा?	2
आँखों से जुड़े मुहावरे	1
अफ़ग़ानिस्तानः 'जारी रहेगी शांति प्रक्रिया'	2
विश्व कप क्रिकेट की दास्तां	4
अब भी अटका पड़ा है अमन सेतु से कारोबार	0
सेक्स-स्कैंडल, जिसने गिरा दी सरकार 	2
अबू हमज़ा के प्रत्यर्पण पर रोक	1
पाकिस्तानः जब नवाज़ ने 'सलाहकार से पूछा' किसे बनाएं आर्मी चीफ़	2
फ़ीफ़ा डायरीः बिन कपड़ो के खेलते पकड़े गए खिलाड़ी	4
अंग्रेज़ी बोलने से आ सकती है गरीबी?	5
उत्तराखंड में सरकार के लिये जोड़तोड़	0
धूम्रपान पर लगी रोक से बची दस हजार जानें	2
आईपीएल में रोमांच का रिकॉर्ड टूटा	4
नौकाओं पर नहीं लगे जीपीएस	0
क्या अँग्रेज़ी को पछाड़ने जा रही है हिंग्लिश?	2
आईपीएल: ठगा महसूस कर रहे है क्रिकेट प्रेमी	4
पाकिस्तान: ख़ैबर पख़्तून ख़्वाह में अकेली महिलाओं को मौलवियों की धमकी	2
किस फिल्म को पहली बार मिला था ऑस्कर?	3
नरेंद्र मोदी रखेंगे दुनिया की सबसे ऊँची मूर्ति की नींव	0
मोहब्बत के रखवाले 'लव कमांडो'	0
बिग डी से मिलने पहुंचे बिग बी	3
फिर भी पप्पू यादव की पसंद हैं आमिर	0
नग्न फ़ोटो ट्वीट करने के लिए यूएस एयरवेज़ ने मांगी माफ़ी	2
यमुना एक्सप्रेसवे के आसपास फिर किसान आंदोलन	0
गुड़गांव टोलकर्मी हत्या मामले में दो गिरफ़्तार	0
एशिया के 'सबसे बदतर शिविर' और रोहिंग्या मुसलमान 	2
इंदिरा इज़ इंडिया - फिर से?	0
हिंदी दिवस पर मेरी प्रिय कविता	0
सऊदी अरब पर राजनीतिक बंदियों की रिहाई का दबाव!	2
कमल हासन नहीं जाएँगे सुप्रीम कोर्ट	3
मिस्र: मुख्य न्यायाधीश बने अंतरिम राष्ट्रपति 	2
भारत, चीन को विशेष रियायत नहीं: ब्लैकबेरी	1
राष्ट्रपति जूमा की मांग हड़ताल समाप्त हो	1
'मजबूरी' में कपड़े उतारती हूं	0
केजरीवाल के प्रति कैसे बदल गई राय	0
क्या आप रहना चाहेंगे झोंपड़ी में?	2
एक साथ भिड़ीं 130 गाड़ियाँ, दर्जनों घायल	2
बे'सहारा' हुआ बीसीसीआई	4
पूर्वी उत्तर प्रदेश में आंधी से तबाही	0
डोपिंग प्रतिबंध के बाद जेसी राइडर फिर मैदान में	4
पुलिस अधिकारी की हत्या की होगी सीबीआई जाँच	0
नाइजीरिया: 'कॉलेज में सोते हुए छात्रों पर हमला, 50 लोगों की मौत'	2
मनमोहन, सोनिया के आवास के बाहर प्रदर्शन	0
अंतरिक्ष से भेजे गए सुपरहिट ट्वीट का राज़	5
पुतिन इतने लेट लतीफ़ क्यों हैं?	2
भारतीय मूल के सत्या नडेला माइक्रोसॉफ़्ट के नए सीईओ	2
क्या स्मृति ईरानी होंगी गुजरात की अगली मुख्यमंत्री?	0
इज़्ज़त के नाम पर क़त्ल के लिए फ़ांसी	0
नज़रिया: 'दलित राष्ट्रपति से दलितों का नहीं होगा फ़ायदा'	0
बिक रहा है ज़रदारी का सरे महल	2
डिजिटल इंडियंस: आख़िर कहाँ तक पहुँची है बात	5
टाइगर पटौदी: 21 की उम्र में कप्तान बनकर टीम इंडिया को जीतना सिखाया	0
चीन में आर्थिक विकास जारी रहेगा	2
निशानी बनकर रह गए हैं कोलकाता के यहूदी	0
कांग्रेस भरोसेमंद नहीं, लेकिन माफ़ कर देंगे: करुणानिधि 	0
भूटान: मोदी के भाषण की दस ख़ास बातें	0
ये रहे 'आँखों देखी' के बाबूजी संजय मिश्रा	0
क्यों गंवाए एक मां ने सात बच्चे ?	1
उत्तराखंड: मुआवज़े की प्रक्रिया से गुजरना बेहद तकलीफ़देह	0
गेल की तूफ़ानी सिक्सर मेल, 18 छक्के...146 रन	4
गज़ा के हालात पर चुप नहीं रह सकता: कांदिल	2
दिल्ली को हराकर विदर्भ पहली बार बना रणजी चैंपियन	4
बिहार: फिर एक 'अँखफोड़वा कांड'	0
विदेशों में भी शाहरुख खान की बल्ले-बल्ले	0
बाल ठाकरे की हालत स्थिर: उद्धव ठाकरे	0
14 दिसंबर: टेस्ट क्रिकेट का सबसे रोमांचक 'टाई' मुक़ाबला	4
साहेब प्रकरण: 16 मई से पहले जज का नाम घोषित हो जाएगा	0
'सीआईए डॉक्टर' पर देशद्रोह के मुकदमे की सिफ़ारिश	2
जहां साहित्य और इतिहास को कोई नहीं पूछता	0
दिमाग के रहस्य खोलने के लिए सबसे बड़ा दांव	5
गुमनामी बाबा, भगवनजी या फिर सुभाष चंद्र बोस?	0
ब्लॉग: 1967 से पहले मुस्लिम चरमपंथी थे कहां?	2
सैम्युअल-शिलिंगफोर्ड की गेंदबाज़ी संदेह के घेरे में	4
ज़िंदगी की जंग लड़ रहे व्यक्ति ने बचाई ज़िंदगी	2
धमाके में फलस्तीनी राजनयिक की मौत	2
नज़रिया: सबसे पुरानी पार्टी को पुनर्जीवित कर पाएंगे राहुल गांधी?	0
चीन में अंतरिक्ष से दिया गया विज्ञान पर लेक्चर	5
अय्यर के घर हुई बैठक ट्रैक 2 डिप्लोमेसी थी?	0
कौन हैं इराक़ के यज़ीदी	2
 चीन के काला पानी यानी 'लाओजियो' का सच	2
ममता बनर्जी के हुए अन्ना हजारे	0
गुजरात में नितिन पटेल की नाराज़गी बीजेपी को पड़ेगी भारी?	0
कब रफ्तार पकड़ेगी घिसटती अर्थव्यवस्था?	0
‏शाह और 'साहेब' की नींद उड़ानेवाले सिंघल कौन हैं?	0
नेपाल में विमान दुर्घटना, 13 भारतीयों की मौत	2
अब ममता बनर्जी का टीवी चैनल 	0
भारतीय मूल का समलैंगिक बन सकता है आयरलैंड का पीएम	2
बाहर हुए मगर अच्छा खेलने की ख़ुशी है: ज्वाला	4
