Sentence	Sentiment_Label
मैसेंजर अब ब्लैकबेरी स्मार्टफोन तक ही सीमित नहीं है ।	positive
3जी पर मैसेज डिलीवरी व्हाट्सप्प और आर्इमैसेज की तुलना में बहुत तेज है ।	positive
व्हाट्सप्प जैसा फीचर है ।	positive
ऑटो करे​क्टिंग के दौरान स्टॉक आर्इओएस कीबोर्ड अलग तरह से काम करता है ।	neutral
प्रतिस्पर्धियों पर भारी पड़ने के लिए वॉयस और वीडियो कॉल्स की जरूरत है ।	negative
यह किसी भी साधन से प्राप्त एक क्रांतिकारी मैंसेंजर नहीं , लेकिन मैसेंजर क्लाएंट से भरपूर एक इको सिस्टम में , यह सबसे स्लिकेस्ट ऑप्शन्स में से एक है ।	neutral
यह शायद सबसे अच्छी बात है जो उन सभी यूजर्स के साथ हो सकती है जो प्लेटफॉर्म बदलना चाहते हैं लेकिन बीबीएम फ्रेंड्सलिस्ट उन्हें ऐसा करने से रोकती है ।	positive
चूंकि इसका गोइंग अच्छा था , अत : मैंने एप्प्ल एप्प स्टोर से बीबीएम को डाउनलोड कर लिया ।	positive
जिस भी व्यक्ति ने एक ओएस के रूप में ब्लैकबेरी 10 का अनुभव नहीं किया है , इस पर बीबीएम का उपयोग किया है , यह यूआर्इ ऐसा है जिसके उपयोग के बारे में आपको समझने की जरूरत है ।	neutral
हालांकि इसके अधिकतर भाग सही स्टैंडर्ड रूप में दिखते हैं , फिर भी पूरे एप्प में साइड स्वाइप्स , एक्सेस और कार्यशैली का एक अन्य स्वरूप बढ़ा देते हैं ।	positive
स्क्रीन के नीचे दिया गया टैब आपको चैट्स , कॉन्टैक्ट्स और ग्रुप्स के बीच नेविगेट करने की सुविधा देता है ।	positive
पूरे एप्प में , बायें और दायें हाथ पर स्थित साइड मेन्यू से अधिक से अधिक ऑप्शन्स को एक्सेस किया जा सकता है जिसे सामने खीचा और पीछे ढकेला भी जा सकता है ।	neutral
आपकी रूचि बनाये रखने के लिए , इस एप्प में काले , आसमानी , नीले और सफेद रंग के मिश्रण से युक्त पर्याप्त विजुअल एलीमेंट्स उपलब्ध हैं ।	positive
कॉन्टैक्ट लिस्ट या तो छोटे कॉन्टैक्ट इमेज के साथ हो सकती है या आपके कॉन्टैक्ट में प्रोफाइल पिक्चर के रूप में स्थित हाइलाइट इमेज के साथ थम्बनेल के रूप में हो सकती है ।	neutral
इसमें बदलाव के लिए कोइ क्विक टोग्गल नहीं है , और उसे बदलने के लिए आपको फुल सेटिंग मेन्यू में जाना होगा ।	negative
इसके टेक्स्ट आधारित चैट का अनुभव ठीक वैसा ही होगा जैसा कि आप आशा करते है , चैट शुरू करने का वही तरीका और हर कॉन्टैक्ट के लिए इनडिविजुअल चैट विंडो ।	positive
दूसरे हर मैसेज एप्प की तरह , बीबीएम भी ग्रुप चैट ऑप्शन प्रदान करता है ।	neutral
फिलहाल , इसमें कोइ वीडियो या वॉयस कॉल सपोर्ट नहीं है ।	negative
चैट के अंदर मैसेज डिलीवरी बिल्कुल रियल टाइम है ।	neutral
आपके बीबीएम प्रोफाइल को स्क्रीन के टॉप पर स्थित बार के द्वारा एक्सेस किया जा सकता है , जहां कि प्रोफाइल पिक्चर और स्टेटस अपडेट होते हैं ।	neutral
कम्पाइटेबिलिटी : आर्इफोन जिस पर आर्इओएस6 और आर्इओएस7।	neutral
अपने प्रतिस्पर्धियों के मुकाबले ज्यादा चैनल देता है ।	positive
अच्छी स्ट्रीमिंग क्वालिटी है ।	positive
मैसिव वीडियो लाइब्रेरी है ।	positive
बोर्ड पर अभी तक कोर्इ स्पोर्ट्स चैनल नहीं है ।	negative
इस समय केवल एंड्रॉयड डिवाइसेज पर ही उपलब्ध है ।	neutral
एयरटेल डिजिटल टीवी डीटीएच ग्राहकों को लाइव टीवी सब्सक्राइव करने का ऑप्शन प्रदान करता है ।	neutral
ऐसी सर्विस शुरू करने वाला , यह तीसरा डायरेक्ट - टू-होम टेलिविजन सर्विस प्रोवाइडर है , और यह प्रयास बहुत ही प्रभावशाली है ।	positive
यह एप्प अभी सिर्फ एंड्रॉयड डिवाइसेज के लिए ही उपलब्ध है ।	neutral
इसकी स्ट्रीमिंग की क्वालिटी बहुत हद तक आपके इंटरनेट कनेक्शन पर निर्भर करता है , और हर चीज सुव्यस्थित होने के कारण , टीवी चैनल बिल्कुल सही ढंग से देखे जा सकते हैं ।	positive
इसका एप्प इंटरफेस बहुत रोमांचक तो नहीं है , लेकिन अच्छी बात यह है कि यह बहुत ही क्लटर - फ्री है ।	conflict
एयरटेल एप्प पर 150 चैनल देते हैं जो इसके किसी भी प्रतिस्पर्धी के मुकाबले अधिक है ।	positive
लाल और सफेद का कलर थीम कम्बिनेशन एयरटेल का बहुत ही सुंदर ट्रेडमार्क है ।	positive
वीडियो को फ्री दिखाता है ।	positive
दायीं ओर वर्टिकल मेन्यू होता है जिसमें एनी टाइम टीवी कैचअप टीवी , ट्रेंडिंग प्रोग्राम्स , फ्री वीडियोज और मूवी प्रीव्यू जैसे वैल्यू एडेड फीचर्स की लिस्ट होती है ।	neutral
मौजूदा डिजाइन निस्संदेह उपयोग और प्रेरणा से अधिक है ।	positive
यह खास तौर से एक छोटे स्मार्टफोन के स्क्रीन पर हार्इ क्वालिटी एप्प की तरह नहीं लगता है	negative
और चूंकि वह बहुत से यूजर्स के लिए परेशानी का सबब नहीं बनता है , अत : आप एयरटेल से इसकी उम्मीद कर सकते हैं कि वह एप्प के लिए कुछ अच्छा करे जो आगे एक अच्छा डील हो ।	neutral
हल्का चमकीला ग्राफिक्स अच्छा काम करेगा , जैसे कि टाटा स्कार्इ ने एवरीह्वेयर टीवी सर्विस को पैकेज किया ।	positive
लाइव टीवी इस एप्प के इस्तेमाल करने और उसके लिए भुगतान करने के पूरे काम का मेन प्वॉइंट है , और यह बताते हुए मुझे बहुत खुशी हो रही है कि इसका अनुभव बहुत ही अच्छा है ।	positive
आपको बस एक अच्छी स्पीड पर एक वार्इफार्इ या 3जी कनेक्शन की जरूरत होती है और स्ट्रीमिंग क्वालिटी भी अच्छी होती है ।	positive
डिटेक्टेड बैंडविथ के अनुसार , क्वालिटी को ऑटोमैटिकली मैनेज किया जाता है ।	positive
किसी स्मार्टफोन या टैबलेट के मामले में , यह स्ट्रीमिंग के लिए जरूरत से ज्यादा की क्वालिटी है ।	positive
8 एमबीपीएस वार्इफार्इ कनेक्शन पर स्ट्रीमिंग बहुत सही होता है ।	positive
लॉन्च के समय , एयरटेल पॉकेट टीवी सर्विस पर 150 चैनल दे रहा है ।	neutral
टाटा स्कार्इ के एवरीह्वेयर और डिश टीवी के डिश ऑन लाइन सर्विस के मुकाबले , यह बहुत अधिक है ।	positive
एयरटेल पॉकेट टीवी सर्विस में अभी तक उसके एप्प पर कोर्इ भी स्पोर्ट्स चैनल उपलब्ध नहीं है और यह उसके लिए खास नुकसान है ।	negative
टाटा स्कार्इ और डिश टीवी दोनों कुछ खास स्पोर्ट्स चैनल देते हैं ।	neutral
एयरटेल पॉकेट टीवी एप्प पर ऑन डिमांड सर्विस अलग अलग तरह के मूवीज की लाइब्रेरी देती है और वह बिगफ्लिक्स द्वारा पावर्ड होती है ।	positive
और इसका सबसे अच्छा भाग यह है कि मूवीज की पूरी लाइब्रेरी को बिना किसी अतिरिक्त चार्ज के स्ट्रीम किया जा सकता है ।	positive
60 रूपये प्रति माह में लाइव टीवी स्ट्रीमिंग और ऑन - डिमांड सेक्शन में उपलब्ध एक मैसिव मूवी लाइब्रेरी , यह बुरा सौदा नहीं है ।	positive
बिल्कुल र्इमानदारी से , टीवी देखने के लिए आपके स्मार्टफोन को एक वैकल्पिक स्क्रीन बनाकर एयरटेल पॉकेट टीवी , ढेर सारी फ्लेक्सिबिलिटी और सुविधा देता है ।	positive
इस प्लेटफॉर्म पर अभी तक एचडी चैनल्स उपलब्ध नहीं हैं ।	negative
बैंडविथ कॉस्ट को कम करना शायद उसका कारण हो सकता है ।	negative
यह एक नया हिस्सा है जिसे हम पूर्वाभासी भविष्य के लिए जारी रखना चाहते हैं ।	neutral
एप्प मूलतः आपके शहर के कार्यक्रमों की एक क्यूरेटेड सूची लाता है , आपको एप्प के जरिये टिकट बुक करने की सुविधा प्रदान करता है ।	neutral
इंस्टाबाउंस पर विशेष छूट भी मिलेगी ।	neutral
' साइन ईजी एप ' आपके फोन या टैबलेट पर अपने डिजिटल डॉक्यूमेंट्स को डिजिटली साइन कर सकने की आजादी देता है ।	positive
इस एप की मदद से आप अपने हस्ताक्षर को रजिस्टर कर सकते हैं ।	positive
इसके बाद आईफोन 5एस पर फिंगप्रिंट सेंसर का उपयोग कर इसे डॉक्यूमेंट पर हस्तांतरित किया जा सकता है ।	positive
कॉर्पोरेट वर्ल्ड में डोक्यूमेंट्स को डिजिटली हस्ताक्षर करना कोई बड़ी या नई बात नहीं है लेकिन जितना आसान डिजिटल हस्ताक्षर के साथ डॉक्यूमेंट को प्रमाणित करने के लिए कहना होता है , उतना आसान यह डिजिटल हस्ताक्षर करना संभव नहीं हो पाता ।	neutral
' एंटर साइन ईजी एप ' के साथ आईफोन 5एस के उपभोक्ताओं की यह परेशानी खत्म हो जाती है ।	positive
इस एप की एक बड़ी खूबी यह है कि इसमें आपको बार बार डिजिटल हस्ताक्षर करने की जरूरत नहीं पड़ती ।	positive
बस एक बार साइन ईजी एप डाउनलोड करने के बाद आप यह डिजिटल हस्ताक्षर अपने आईफोन 5एस पर ड्रॉ करते हैं और बाद में फोन के टच आईडी सेंसर की मदद से कितनी भी बार इसका उपयोग किया जा सकता है ।	positive
यह एप आपके हस्ताक्षर की एक छोटी पिक्चर आपके चुने हुए डॉक्यूमेंट पर फिक्स कर देती है ।	neutral
इसके बाद डॉक्यूमेंट की साइज के अनुसार हस्ताक्षर की साइज सेट की जा सकती है या जरूरत के अनुसार डॉक्यूमेंट पर इसे फिक्स करने की जगह भी बदली जा सकती है और अपने अनुसार सही जगह लगाया जा सकता है ।	neutral
इसके प्रयोग में बस एक ही परेशानी है , वह यह कि हस्ताक्षर किए जाने वाले डॉक्यूमेंट बस ' आईओएस मेल एप ' से ही खोले गए होने चाहिए ।	negative
हालांकि इसमें थर्ड पार्टी एप्लिकेंशंस अटैचमेंट खोलने का ऑप्शन भी है लेकिन साइनईजी एप पर सीधे तौर पर जीमेल से कोई डॉक्यूमेंट खोला नहीं जा सकता ।	negative
लंबा और घुमावदार हस्ताक्षर करने वालों के लिए भी यहां अपना हस्ताक्षर ड्रॉ करना परेशानी भरा हो सकता है ।	negative
शानदार ग्राफ़िक्स और कार का सूक्ष्म विवरण देने वाला यह गेम आपके एंड्रायड उपकरण पर अवश्य होना चाहिए ।	positive
यह काफी हेवी गेम है , इसलिए यह सुनिश्चित कर लें कि आपके उपकरण में इसे स्टोर करने के लिए पर्याप्त जगह है और साथ ही अच्छे प्रदर्शन के लिए शक्तिशाली हार्डवेयर मौजूद है ।	neutral
एयरबोर्न एक बहुत शानदार रेसिंग अनुभव देता है , जहाँ रेस के आलावा आपको तेज़ गति के एरिएल स्टंट , नॉकडाउन और ड्रिफ्टिंग को भी करना होता है ।	positive
गेमलॉफ्ट द्वारा प्रस्तुत जीटी रेसिंग 2 एक अन्य शानदार दिखने वाला गेम है ।	positive
यह गेम कुछ कम गंम्भीर खेल खेलने वालों के लिए है , क्योंकि इस गेम में आपको पहाड़ी सड़कों पर गाड़ी चलाना होता है , और इसमें आपको पॉवरअप्स और सिक्के मिलते हैं ।	neutral
इसमें बहुत उच्च स्तर के ग्राफ़िक्स नहीं हैं लेकिन यह गेम बहुत आकर्षित करने वाला है ।	conflict
टर्बो रेसिंग लीग गेम ड्रीमवर्क्स स्टूडियो के फिल्म टर्बो पर आधारित है , जो एक चरित्र टिटो जो एक स्नेल है पर आधारित है , और जो एक रेसर बनना चाहता है ।	neutral
इसमें आपको एक रेसिंग स्नेल बनाना होता है और फिर स्नेल को ट्रैक पर स्वाइप कराना होता है ।	neutral
यह संगीत चलाने वाला एप सादा , बढ़िया , स्थिर और विश्वशनीय है , और यह आपके पास अवश्य होना चाहिए ।	positive
इसकी विशेषताओं में आसान इंस्टालेशन , साफ़ सुथरा यूजर इंटरफ़ेस , और अच्छी आवाज़ का स्तर शामिल हैं ।	positive
इसमें विशेष बेस और ट्रेबल नियंत्रण है ।	positive
इस एप में एंड्रायड होम स्क्रीन पर इस्तेमाल करने के लिए विजेट्स भी हैं , जो मीडिया चलाने को बहुत आसान बना देता है ।	positive
आईट्यून्स से आपके एंड्रायड फ़ोन पर संगीत ग्रहण करने की इसकी क्षमता इसे उन लोगों के लिए काफी सुविधाजनक बना देती है , जिन्होंने अपना सम्पूर्ण संगीत आईट्यून्स पर संग्रह कर रखा है ।	positive
ज्यादा रेजोल्यूशन वाले चित्रों के लिए आपको 6टैग एप की आवश्यकता होगी ।	neutral
यह एप आपको सारे इन्स्टाग्राम फिल्टर्स के आलावा और भी बहुत कुछ देता है ।	neutral
इस एप से आप चित्रों को सीधे इन्स्टाग्राम नेटवर्क पर भेज सकते हैं , और यहाँ तक कि चित्रों को अपने फ़ोन में सुरक्षित भी कर सकते है ।	positive
यह एप इस्तेमाल करने में अब तक का सबसे आसान एप है , और बेहतरीन पैनोरमा तस्वीर लेने के लिए इसे सिर्फ दृश्य के आर पार घुमाने की आवश्यकता होती है ।	positive
सबसे अच्छी बात यह है कि यह मुफ्त है ।	positive
साधारण यूजर क्लास के साथ ही यह एप्लिकेशन समान रूप से बिजनेस क्लास के लिए भी है ।	neutral
इस एप्लिकेशन के जरिए कंपनियां क्षेत्र या भाषा विशेष पर आधारित कैंपेन चला सकती हैं ।	neutral
गेम आधारित प्रमोशनल कैंपेन इसपर आसानी से चलाए जा सकते हैं ।	positive
स्लोफो का ज्यादातर फीचर गेमिंग पर आधारित है ।	neutral
कॉन्टेस्ट या पॉल्स में हिस्सा लेते हुए आपको पॉइंट्स मिलते हैं ।	neutral
इसके साथ ही स्लोफो आपको सोशल होने की सुविधा भी देता है ।	positive
इसपर आप अपना ग्रुप बना सकते हैं या अपने ईमेल आइडी के जरिए अपने दोस्तों को आमंत्रित कर सकते हैं ।	neutral
इसके अलावा इस एप्लिकेशन का बेहद अहम फीचर यह है कि इसपर आप अपने पसंदीदा ब्रांड को फॉलो कर सकते हैं और एक ही फीड पर आप उनके द्वारा चलाए जा रहे सभी कॉन्टेस्ट और अपडेट्स पढ़ सकते हैं ।	positive
प्रोफेशनल्स को भी स्लोफो उनके फॉलोअर्स बनाने और उसे बढ़ाने का मौका देता है ।	positive
स्लोफो एक मनोरंजक एप्लिकेशन है इसमें कोई दो राय नहीं है लेकिन अभी भी इसमें सुधार की आवश्यकताएं हैं ।	positive
इस ऐप की सहायता से आप अपने आप को स्वस्थ रख रकते हैं ।	positive
इंटरनेट मूवी डेटाबेस IMDb इस साइट पर हमें जरुर जाना चाहिए अगर आपने लम्बे समय से कोई मूवी या टीवी सिरिअल नहीं देखा है ।	positive
शुक्र है कि अप यह ऐप आपके स्मार्टफ़ोन पर आसनी से उपलब्ध है ।	positive
डेली मोशन : इस ऐप का काम है विभिन्न नेटवर्क्स पर चल रहे आपके पसंदीदा कंटेंट को एक जगह , एक ही स्थान पर लाकर रख देना ताकि आपको उसे ढूंढने में किसी भी तरह की परेशानी न हो ।	neutral
इस ऐप के माध्यम से आप कोई भी विडियो डाउनलोड कर सकते हैं और उसे दुनिया भर में अपने दोस्तों के साथ साझा कर सकते हैं ।	positive
टीईडी : यह एक गैर लाभकारी संगठन है , यह आपको दुनिया के सबसे प्रभावशाली महान लोगों से जुडी ज्ञानवर्धक और प्रेरणादायक विडियोज़ को देखने की आज़ादी देता है ।	neutral
इस ऐप के माध्यम से आप इन विडियोज़ को लगभग अलग अलग 20 भाषाओं में देख सकते हैं ।	positive
और इसे यूआई पर इस्तेमाल करना बेहद आसान है ।	positive
इस ऐप में एक फीचर है फीचर्ड टीईडी टॉक्स” इसके माध्यम से आप विडियोज़ का आनंद अपनी पसंद के अनुसार महत्ता और दिनांक के अनुसार उठा सकते हैं , इस ऐप में विडियोज़ को महता और डेट के हिसाब से रखा गया है ।	positive
बॉलीवुड हंगामा : बॉलीवुड को प्यार करने वालों के लिए यह सबसे बढ़िया ऐप है ।	neutral
इस ऐप के माध्यम से आप मूवीज़ के ट्रेलर्स देख सकते हैं , रिव्यु के साथ साथ बॉक्स ऑफिस की प्रेडिक्शन्स भी जान सकते हैं ।	neutral
इसके साथ ही आप इसपर बॉलीवुड अदाकारों से जुड़े मुद्दे , खबर और गोसिप्स के बारे में भी जान सकते हैं ।	neutral
इतना ही नहीं इसके द्वारा आप स्कैंडल्स , पार्टीज , मूवीज़ की मेकिंग से जुड़े किस्से , सीन , उनका खाना , सोना , पीना आदि के बारे में आसानी से जान सकते हैं , यहाँ आपको आपके पसंदीदा	neutral
यूट्यूब : इसे समझने में कोई ज्यादा परेशानी नहीं हैं कि मनोरंजन का पर्याय आज के समय में यूट्यूब है ।	positive
इसे इस्तेमाल करना बहुत ही ज्यादा आसान है , बिना किसी परेशानी के आप किसी भी विडियो को आसानी से इसके माध्यम से खोज सकते हैं ।	positive
इसमें एक सुंदर यूआई भी है और इसके द्वारा विडियो शेयर करना प्रसंता देता है ।	positive
आप इसके माध्यम से अपने पसंद के चैनल को सब्सक्राइब कर सकते हैं और अपने PC अकाउंट के साथ इस लिस्ट को सिंक भी कर सकते हैं ।	positive
मैसेंजर में गेमिंग का जुड़ जाना अच्छी और बढ़िया पहल कही जा सकती है , इसके साथ ही फेसबुक इसे अब एक प्लेटफार्म के रूप में देखना चाहता है ।	neutral
फेसबुक ने ' फेसबुक फॉर एंड्राइड ' एप और पहले से ही प्रसिद्द मेसेजिंग एप व्हाट्सएप के एकीकरण के लिए टेस्टिंग की प्रक्रिया का आरम्भ कर दिया है ।	neutral
फेसबुक ने एक नए बटन के तौर पर ' सेंड ' बटन को इस प्रक्रिया में शामिल किया है ।	neutral
बताया जा रहा है कि फेसबुक के इस एंड्राइड एप के नए वर्जन में यह बटन कुछ उपभोगताओं के लिए दाहिनी तरफ दिखाई देग ।	neutral
रिम RIM ने अपने मैसेंजर एप्प का नया वर्जन उतारा है , बीबीएम BBM ।	neutral
बीबीएम वर्जन 7 BBM version 7 में एक नया फीचर है जिसका नाम है बीबीएम वॉयस BBM Voice , जिससे बीबीएम BBM उपभोक्ता अपने वाईफाई WiFi नेटवर्क द्वारा मुफ्त में वॉयस कॉल कर सकते हैं ।	neutral
इसके अतिरिक्त , बीबीएम BBM पर कॉल करने के लिए कौन उपलब्ध है और कौन नहीं इसके लिए प्रत्येक यूजर का स्टेटस भी जांच सकते हैं ।	neutral
भारतीय रेलवे ने रेल राडार Rail Radar को लांच किया है , यह ट्रेन ट्रेकिंग सेवा है जो कि गूगल मैप्स Google Maps पर चलती है ।	neutral
हालांकि बड़ी स्क्रीन वाला फोन इस सर्विस के लिए अच्छा है ।	positive
हालांकि अभी तक इस सेवा के लिए कोई भी मोबाइल एप्पलीकेशन नहीं है ।	neutral
हालांकि सूचना के मामले में , कुछ भी बदला नहीं गया है और यह जीपीएस के द्वारा ट्रेक लोकेशन नहीं है लेकिन यह रेलवे स्टेशन से प्राप्त जानकारी पर आधारित है जिसको ट्रेन ने हाल ही में क्रास किया हो ।	neutral
इसलिए इसका मतलब है कि यह सही मायनों में लाइव सूचना की सुविधा नहीं देती है ।	negative
सॉफ्टवेयर की अग्रणी कंपनी माइक्रोसॉफ्ट Microsoft ने एंड्रॉयड डिवाइसों के लिए विधिवत रूप से आधिकारिक आउटलुक एप्पलीकेशन को जारी कर दिया है ।	neutral
हालांकि एप्प तेज काम करता दिखता है लेकिन इसमें कुछ गंभीर प्रकार के फीचरों के सेट की कमी है जैसे कि मल्टीपल एकाउंट ।	conflict
जाहिर रूप से , एंड्रॉयड डिवाइस के यूजर्स , जो कि आउटलुक डॉट कॉम Outlook.com एप्प का इस्तेमाल करते थे , इसके पुराने यूजर इंटरफेस और सिंक परेशानियों से बहुत ज्यादा खुश नहीं है ।	negative
सबसे पहले , अब गूगल ड्राइव एप्पलीकेशन Goggle Drive application यूजर्स को एप्पीलेकशन के अंदर अपने आप से सीधे ही स्प्रेडशीट को संपादन करने की सुविधा देगा ।	positive
यह निश्चित रूप से कई यूजर्स के बीच स्पैड्रशीट पर तेज और शानदार नियंत्रण की सुविधा देगा ।	positive
इसके अतिरिक्त , अपग्रेड शानदार टेक्स्ट फार्मेटिंग लाय़ा है जबकि वे गूगल डॉक्यूमेंट Google document में कॉपी और पेस्ट कर सकते हैं ।	neutral
नोकिया मैप्स स्विट 2.0 को खास तौर से मैप्स , ड्राइव , पब्लिक ट्रांस्पोर्ट और वेदर एप्स जैसे फीचर से लैस किया गया है ।	neutral
एप्लिकेशन में आईकान को बेहद ही सहज तरीके से पेश किया गया है ।	positive
इसमें आप अपनी सुविधनुसार बदलाव भी कर सकते हैं ।	neutral
पिछले पांच सालों के दौरान एप्पल आईओएस आपरेटिंग में बेहतर विकास देखने को मिला है ।	positive
म्यूजिक के मामले में तो आपको बहुत कुछ मिलेगा ।	positive
कंपनी के एप्स स्टोर पर आज एक से बढ़कर एक म्यूजिक एप्लिकेशन हैं ।	positive
हालांकि हम यह जानते हैं कि गूगल मैप्स सूचनाएं बेहतर तरीके से मुहैया कराता है लेकिन हर वक्त जानकारी सही नहीं होती ।	neutral
ऐसे में आप एप्स स्टोर परगेम्स की बात करें तो आज स्मार्टफोन यूजर्स के लिए विभिन्न तरह की शैलियों वाले बहुत से गेम्स मौजूद हैं ।	positive
इन सब में से एक्शन गेम्स सबसे अधिक पसंदीदा और मजेदार माने जाते हैं ।	positive
अगर आप कोई चीज डाक या कोरियर सेवा से भेज रहे है तो एरिया पिन कोड , वैसे ही एसटीडी कोड तथा गाड़ी के रजिस्ट्रेशन नम्बर आदि बहुत महत्वपूर्ण चीजें है लेकिन इस सबके लिए इंटरनेट हमेशा एक बेहतर विकल्प नहीं है क्योंकि अपने देश में फोनीय कनेक्टिविटी हमेशा अपेक्षा पर खरी नहीं उतरती है ।	neutral
यह हलका है ।	positive
यह ऑफ़लाइन काम करता है ।	positive
यह सीमित उपयोग का है ।	negative
इसमें अनुकूलन का अभाव है ।	negative
इस एप्लीकेशन की इंस्टॉल का आकार छोटा सा 3 एमबी MB का है तथा यह यूजर को नम्बर अथवा कोड की सही स्थिति को बताता है ।	neutral
जब कभी भी यूजर सर्च बार में कोई खास नम्बर या कोड पंच करता है उसकी स्थिति जान सकता है ।	neutral
इसे शुरू करने के लिए आपको सिर्फ यह करना है कि इसके ऑपशन्स टैब पर जा कर भाषा चुननी है , जो दरअसल बहुत सारी मौजूद हैं ।	neutral
यह एप्पलीकेशन 19 अंतरराष्ट्रीय भाषाओं को सपोर्ट करती है ।	neutral
इसके बाद कॉन्टेक्ट के लिए स्टोरेज चुनें जो गूगल या डिवाइस में से कोई एक होगी इसके साथ ही एप्पलीकेशन की सेटअप का हिस्सा पूरा हो जाता है ।	neutral
दिलचस्प गेम प्ले है ।	positive
